id_metier,verbatim
OP063,"Je conçois et valide des architectures permettant de répondre durablement aux exigences métiers, en cohérence avec le SDSI, l'urbanisation du système d'information et les orientations techniques de l'entreprise."
OP063,"Je définis les architectures techniques et logicielles des solutions et j'accompagne leur mise en œuvre dans le respect des standards de l'entreprise."
OP063,"Je conçois des architectures applicatives modernes basées sur des architectures distribuées, des micro-services et des composants cloud-native."
OP063,"Je définis les standards de développement, les frameworks, les patterns d'architecture et les bonnes pratiques à appliquer par les équipes."
OP063,"Je conçois des architectures logicielles basées sur les technologies Java, Spring Boot, Quarkus et Angular."
OP063,"Je réalise le design technique de micro-services complexes et définis leurs interactions avec les différents composants du système d'information."
OP063,"Je conçois, développe et fais évoluer des applications métier basées sur Java, Spring Boot, Quarkus ainsi que les écosystèmes Maven et Gradle."
OP063,"Je conçois et développe des interfaces web modernes avec Angular, TypeScript, Bootstrap et les technologies web associées."
OP063,"Je conçois et mets en œuvre des traitements batch, des mécanismes d'intégration applicative et des flux d'échanges de données."
OP063,"Je développe et maintiens des solutions d'intégration basées sur des architectures événementielles et des technologies comme Apache Kafka."
OP063,"Je conçois et industrialise des solutions cloud en exploitant les services Google Cloud Platform tels que BigQuery, Cloud Storage, Cloud SQL et Cloud Run."
OP063,"Je développe et déploie des composants applicatifs dans des environnements conteneurisés avec Docker et les technologies associées."
OP063,"Je mets en œuvre les pratiques DevOps liées à l'automatisation, la conteneurisation et la gestion du cycle de vie des applications."
OP063,"Je configure et maintiens les chaînes d'automatisation des déploiements DevOps."
OP063,"Je conçois, industrialise et maintiens les chaînes CI/CD avec GitHub Actions, GitLab CI et Jenkins."
OP063,"Je mets en œuvre les stratégies de versionnement, de qualité logicielle et d'automatisation des processus de livraison."
OP063,"Je contribue à la sécurisation et à la fiabilisation des processus de build, de déploiement et d'exploitation."
OP063,"Je réalise des études techniques, des prototypes et des preuves de concept dans les domaines du Cloud, de la Data, du DevOps et de l'architecture logicielle."
OP063,"Je conçois et mets en œuvre des solutions de traitement et d'exploitation de données avec les technologies Data adaptées aux besoins métiers."
OP063,"Je développe des workflows d'orchestration et d'automatisation des traitements de données avec Apache Airflow."
OP063,"Je mets en œuvre des solutions d'observabilité, de supervision et de traçabilité avec Grafana, Loki, Tempo et Prometheus."
OP063,"J'analyse les incidents complexes, les problématiques de performance et je contribue à l'amélioration continue des applications et plateformes."
OP063,"J'assure un rôle d'expertise technique auprès des équipes de développement, de support, d'exploitation et des équipes fonctionnelles."
OP063,"Je réalise des revues techniques et j'accompagne la montée en compétence des équipes sur les technologies et pratiques modernes."
OP063,"Je participe à la définition des standards d'architecture, de développement, de sécurité et d'exploitation."
OP063,"Je coordonne les aspects techniques des projets et assure les échanges avec les différents acteurs internes, partenaires et prestataires."
OP063,"Je contribue à la gouvernance technique du système d'information par une veille technologique active et des recommandations d'évolution."
OP063,"Je garantis le cycle de vie complet des solutions dont j'ai la responsabilité, de la conception jusqu'à leur exploitation en production."
OP063,"J'assure le BUILD et le RUN des applications et plateformes dont j'accompagne la mise en œuvre."
OP063,"Je participe aux démarches Agile/SCRUM et contribue à la planification, au suivi et à la réussite des projets."
OP063,"J'accompagne la transformation numérique de l'entreprise par l'introduction de nouvelles technologies et l'industrialisation des pratiques de développement et d'exploitation."
OP063,"Je forme et accompagne les collaborateurs sur les nouvelles technologies, les nouveaux socles techniques et les pratiques d'ingénierie logicielle."
OP063,"Je contribue à l'installation, la configuration et la mise à disposition d'environnements Linux nécessaires aux activités de développement et d'exploitation."
